File name,Platform,Protocol
LV7009026455-LV7005224364-CGG3-017594_S74_L002_R2_001.fastq.gz,NovaSeq6,Double
LV7009026455-LV7005224364-CGG3-017594_S74_L003_R1_001.fastq.gz,NovaSeq6,Double
LV7009026455-LV7005224364-CGG3-017594_S74_L003_R2_001.fastq.gz,NovaSeq6,Double
LV7009026455-LV7005224364-CGG3-017594_S74_L004_R1_001.fastq.gz,NovaSeq6,Double
LV7009026455-LV7005224364-CGG3-017594_S74_L004_R2_001.fastq.gz,NovaSeq6,Double
LV7009026456-LV7000631891-CGG3-016625_S66_L001_R1_001.fastq.gz,NovaSeq6,Double
LV7009026456-LV7000631891-CGG3-016625_S66_L001_R2_001.fastq.gz,NovaSeq6,Double
LV7009026456-LV7000631891-CGG3-016625_S66_L002_R1_001.fastq.gz,NovaSeq6,Double
LV7009026456-LV7000631891-CGG3-016625_S66_L002_R2_001.fastq.gz,NovaSeq6,Double
LV7009026456-LV7000631891-CGG3-016625_S66_L003_R1_001.fastq.gz,NovaSeq6,Double
LV7009026456-LV7000631891-CGG3-016625_S66_L003_R2_001.fastq.gz,NovaSeq6,Double
LV7009026456-LV7000631891-CGG3-016625_S66_L004_R1_001.fastq.gz,NovaSeq6,Double
LV7009026456-LV7000631891-CGG3-016625_S66_L004_R2_001.fastq.gz,NovaSeq6,Double
LV7009026457-LV7000631886-CGG3-017487_S58_L001_R1_001.fastq.gz,NovaSeq6,Double
LV7009026457-LV7000631886-CGG3-017487_S58_L001_R2_001.fastq.gz,NovaSeq6,Double
LV7009026457-LV7000631886-CGG3-017487_S58_L002_R1_001.fastq.gz,NovaSeq6,Double
LV7009026457-LV7000631886-CGG3-017487_S58_L002_R2_001.fastq.gz,NovaSeq6,Double
LV7009026457-LV7000631886-CGG3-017487_S58_L003_R1_001.fastq.gz,NovaSeq6,Double
LV7009026457-LV7000631886-CGG3-017487_S58_L003_R2_001.fastq.gz,NovaSeq6,Double
LV7009026457-LV7000631886-CGG3-017487_S58_L004_R1_001.fastq.gz,NovaSeq6,Double
LV7009026457-LV7000631886-CGG3-017487_S58_L004_R2_001.fastq.gz,NovaSeq6,Double
LV7009026458-LV7001308204-CGG3-017435_S50_L001_R1_001.fastq.gz,NovaSeq6,Double
LV7009026458-LV7001308204-CGG3-017435_S50_L001_R2_001.fastq.gz,NovaSeq6,Double
LV7009026458-LV7001308204-CGG3-017435_S50_L002_R1_001.fastq.gz,NovaSeq6,Double
LV7009026458-LV7001308204-CGG3-017435_S50_L002_R2_001.fastq.gz,NovaSeq6,Double
LV7009026458-LV7001308204-CGG3-017435_S50_L003_R1_001.fastq.gz,NovaSeq6,Double
LV7009026458-LV7001308204-CGG3-017435_S50_L003_R2_001.fastq.gz,NovaSeq6,Double
LV7009026458-LV7001308204-CGG3-017435_S50_L004_R1_001.fastq.gz,NovaSeq6,Double
LV7009026458-LV7001308204-CGG3-017435_S50_L004_R2_001.fastq.gz,NovaSeq6,Double
LV7009026467-LV7005225625-CGG3-017584_S75_L001_R1_001.fastq.gz,NovaSeq6,Double
LV7009026467-LV7005225625-CGG3-017584_S75_L001_R2_001.fastq.gz,NovaSeq6,Double
LV7009026467-LV7005225625-CGG3-017584_S75_L002_R1_001.fastq.gz,NovaSeq6,Double
LV7009026467-LV7005225625-CGG3-017584_S75_L002_R2_001.fastq.gz,NovaSeq6,Double
LV7009026467-LV7005225625-CGG3-017584_S75_L003_R1_001.fastq.gz,NovaSeq6,Double
LV7009026467-LV7005225625-CGG3-017584_S75_L003_R2_001.fastq.gz,NovaSeq6,Double
LV7009026467-LV7005225625-CGG3-017584_S75_L004_R1_001.fastq.gz,NovaSeq6,Double
LV7009026467-LV7005225625-CGG3-017584_S75_L004_R2_001.fastq.gz,NovaSeq6,Double
LV7009026468-LV7000631923-CGG3-016631_S67_L001_R1_001.fastq.gz,NovaSeq6,Double
LV7009026468-LV7000631923-CGG3-016631_S67_L001_R2_001.fastq.gz,NovaSeq6,Double
LV7009026468-LV7000631923-CGG3-016631_S67_L002_R1_001.fastq.gz,NovaSeq6,Double
LV7009026468-LV7000631923-CGG3-016631_S67_L002_R2_001.fastq.gz,NovaSeq6,Double
LV7009026468-LV7000631923-CGG3-016631_S67_L003_R1_001.fastq.gz,NovaSeq6,Double
LV7009026468-LV7000631923-CGG3-016631_S67_L003_R2_001.fastq.gz,NovaSeq6,Double
LV7009026468-LV7000631923-CGG3-016631_S67_L004_R1_001.fastq.gz,NovaSeq6,Double
LV7009026468-LV7000631923-CGG3-016631_S67_L004_R2_001.fastq.gz,NovaSeq6,Double
LV7009026469-LV7000631894-CGG3-017488_S59_L001_R1_001.fastq.gz,NovaSeq6,Double
LV7009026469-LV7000631894-CGG3-017488_S59_L001_R2_001.fastq.gz,NovaSeq6,Double
LV7009026469-LV7000631894-CGG3-017488_S59_L002_R1_001.fastq.gz,NovaSeq6,Double
LV7009026469-LV7000631894-CGG3-017488_S59_L002_R2_001.fastq.gz,NovaSeq6,Double
LV7009026469-LV7000631894-CGG3-017488_S59_L003_R1_001.fastq.gz,NovaSeq6,Double
LV7009026469-LV7000631894-CGG3-017488_S59_L003_R2_001.fastq.gz,NovaSeq6,Double
LV7009026469-LV7000631894-CGG3-017488_S59_L004_R1_001.fastq.gz,NovaSeq6,Double
LV7009026469-LV7000631894-CGG3-017488_S59_L004_R2_001.fastq.gz,NovaSeq6,Double
LV7009026470-LV7001308245-CGG3-017439_S51_L001_R1_001.fastq.gz,NovaSeq6,Double
LV7009026470-LV7001308245-CGG3-017439_S51_L001_R2_001.fastq.gz,NovaSeq6,Double
LV7009026470-LV7001308245-CGG3-017439_S51_L002_R1_001.fastq.gz,NovaSeq6,Double
LV7009026470-LV7001308245-CGG3-017439_S51_L002_R2_001.fastq.gz,NovaSeq6,Double
LV7009026470-LV7001308245-CGG3-017439_S51_L003_R1_001.fastq.gz,NovaSeq6,Double
LV7009026470-LV7001308245-CGG3-017439_S51_L003_R2_001.fastq.gz,NovaSeq6,Double
LV7009026470-LV7001308245-CGG3-017439_S51_L004_R1_001.fastq.gz,NovaSeq6,Double
LV7009026470-LV7001308245-CGG3-017439_S51_L004_R2_001.fastq.gz,NovaSeq6,Double
LV7009026479-LV7005225633-CGG3-017592_S76_L001_R1_001.fastq.gz,NovaSeq6,Double
LV7009026479-LV7005225633-CGG3-017592_S76_L001_R2_001.fastq.gz,NovaSeq6,Double
LV7009026479-LV7005225633-CGG3-017592_S76_L002_R1_001.fastq.gz,NovaSeq6,Double
LV7009026479-LV7005225633-CGG3-017592_S76_L002_R2_001.fastq.gz,NovaSeq6,Double
LV7009026479-LV7005225633-CGG3-017592_S76_L003_R1_001.fastq.gz,NovaSeq6,Double
LV7009026479-LV7005225633-CGG3-017592_S76_L003_R2_001.fastq.gz,NovaSeq6,Double
LV7009026479-LV7005225633-CGG3-017592_S76_L004_R1_001.fastq.gz,NovaSeq6,Double
LV7009026479-LV7005225633-CGG3-017592_S76_L004_R2_001.fastq.gz,NovaSeq6,Double
LV7009026480-LV7000631922-CGG3-017460_S68_L001_R1_001.fastq.gz,NovaSeq6,Double
LV7009026480-LV7000631922-CGG3-017460_S68_L001_R2_001.fastq.gz,NovaSeq6,Double
LV7009026480-LV7000631922-CGG3-017460_S68_L002_R1_001.fastq.gz,NovaSeq6,Double
LV7009026480-LV7000631922-CGG3-017460_S68_L002_R2_001.fastq.gz,NovaSeq6,Double
LV7009026480-LV7000631922-CGG3-017460_S68_L003_R1_001.fastq.gz,NovaSeq6,Double
LV7009026480-LV7000631922-CGG3-017460_S68_L003_R2_001.fastq.gz,NovaSeq6,Double
LV7009026480-LV7000631922-CGG3-017460_S68_L004_R1_001.fastq.gz,NovaSeq6,Double
LV7009026480-LV7000631922-CGG3-017460_S68_L004_R2_001.fastq.gz,NovaSeq6,Double
LV7009026481-LV7000631887-CGG3-017493_S60_L001_R1_001.fastq.gz,NovaSeq6,Double
LV7009026481-LV7000631887-CGG3-017493_S60_L001_R2_001.fastq.gz,NovaSeq6,Double
LV7009026481-LV7000631887-CGG3-017493_S60_L002_R1_001.fastq.gz,NovaSeq6,Double
LV7009026481-LV7000631887-CGG3-017493_S60_L002_R2_001.fastq.gz,NovaSeq6,Double
LV7009026481-LV7000631887-CGG3-017493_S60_L003_R1_001.fastq.gz,NovaSeq6,Double
LV7009026481-LV7000631887-CGG3-017493_S60_L003_R2_001.fastq.gz,NovaSeq6,Double
LV7009026481-LV7000631887-CGG3-017493_S60_L004_R1_001.fastq.gz,NovaSeq6,Double
LV7009026481-LV7000631887-CGG3-017493_S60_L004_R2_001.fastq.gz,NovaSeq6,Double
LV7009026482-LV7001308272-CGG3-017456_S52_L001_R1_001.fastq.gz,NovaSeq6,Double
LV7009026482-LV7001308272-CGG3-017456_S52_L001_R2_001.fastq.gz,NovaSeq6,Double
LV7009026482-LV7001308272-CGG3-017456_S52_L002_R1_001.fastq.gz,NovaSeq6,Double
LV7009026482-LV7001308272-CGG3-017456_S52_L002_R2_001.fastq.gz,NovaSeq6,Double
LV7009026482-LV7001308272-CGG3-017456_S52_L003_R1_001.fastq.gz,NovaSeq6,Double
LV7009026482-LV7001308272-CGG3-017456_S52_L003_R2_001.fastq.gz,NovaSeq6,Double
LV7009026482-LV7001308272-CGG3-017456_S52_L004_R1_001.fastq.gz,NovaSeq6,Double
LV7009026482-LV7001308272-CGG3-017456_S52_L004_R2_001.fastq.gz,NovaSeq6,Double
LV7009026492-LV7000631898-CGG3-016621_S69_L001_R1_001.fastq.gz,NovaSeq6,Double
LV7009026492-LV7000631898-CGG3-016621_S69_L001_R2_001.fastq.gz,NovaSeq6,Double
LV7009026492-LV7000631898-CGG3-016621_S69_L002_R1_001.fastq.gz,NovaSeq6,Double
LV7009026492-LV7000631898-CGG3-016621_S69_L002_R2_001.fastq.gz,NovaSeq6,Double
LV7009026492-LV7000631898-CGG3-016621_S69_L003_R1_001.fastq.gz,NovaSeq6,Double
LV7009026492-LV7000631898-CGG3-016621_S69_L003_R2_001.fastq.gz,NovaSeq6,Double
LV7009026492-LV7000631898-CGG3-016621_S69_L004_R1_001.fastq.gz,NovaSeq6,Double
LV7009026492-LV7000631898-CGG3-016621_S69_L004_R2_001.fastq.gz,NovaSeq6,Double
LV7009026493-LV7000631904-CGG3-017501_S61_L001_R1_001.fastq.gz,NovaSeq6,Double
LV7009026493-LV7000631904-CGG3-017501_S61_L001_R2_001.fastq.gz,NovaSeq6,Double
LV7009026493-LV7000631904-CGG3-017501_S61_L002_R1_001.fastq.gz,NovaSeq6,Double
LV7009026493-LV7000631904-CGG3-017501_S61_L002_R2_001.fastq.gz,NovaSeq6,Double
LV7009026493-LV7000631904-CGG3-017501_S61_L003_R1_001.fastq.gz,NovaSeq6,Double
LV7009026493-LV7000631904-CGG3-017501_S61_L003_R2_001.fastq.gz,NovaSeq6,Double
LV7009026493-LV7000631904-CGG3-017501_S61_L004_R1_001.fastq.gz,NovaSeq6,Double
LV7009026493-LV7000631904-CGG3-017501_S61_L004_R2_001.fastq.gz,NovaSeq6,Double
LV7009026494-LV7001308266-CGG3-017468_S53_L001_R1_001.fastq.gz,NovaSeq6,Double
LV7009026494-LV7001308266-CGG3-017468_S53_L001_R2_001.fastq.gz,NovaSeq6,Double
LV7009026494-LV7001308266-CGG3-017468_S53_L002_R1_001.fastq.gz,NovaSeq6,Double
LV7009026494-LV7001308266-CGG3-017468_S53_L002_R2_001.fastq.gz,NovaSeq6,Double
LV7009026494-LV7001308266-CGG3-017468_S53_L003_R1_001.fastq.gz,NovaSeq6,Double
LV7009026494-LV7001308266-CGG3-017468_S53_L003_R2_001.fastq.gz,NovaSeq6,Double
LV7009026494-LV7001308266-CGG3-017468_S53_L004_R1_001.fastq.gz,NovaSeq6,Double
LV7009026494-LV7001308266-CGG3-017468_S53_L004_R2_001.fastq.gz,NovaSeq6,Double
LV7009026504-LV7000631930-CGG3-017446_S70_L001_R1_001.fastq.gz,NovaSeq6,Double
LV7009026504-LV7000631930-CGG3-017446_S70_L001_R2_001.fastq.gz,NovaSeq6,Double
LV7009026504-LV7000631930-CGG3-017446_S70_L002_R1_001.fastq.gz,NovaSeq6,Double
LV7009026504-LV7000631930-CGG3-017446_S70_L002_R2_001.fastq.gz,NovaSeq6,Double
LV7009026504-LV7000631930-CGG3-017446_S70_L003_R1_001.fastq.gz,NovaSeq6,Double
LV7009026504-LV7000631930-CGG3-017446_S70_L003_R2_001.fastq.gz,NovaSeq6,Double
LV7009026504-LV7000631930-CGG3-017446_S70_L004_R1_001.fastq.gz,NovaSeq6,Double
LV7009026504-LV7000631930-CGG3-017446_S70_L004_R2_001.fastq.gz,NovaSeq6,Double
LV7009026505-LV7000631928-CGG3-017504_S62_L001_R1_001.fastq.gz,NovaSeq6,Double
LV7009026505-LV7000631928-CGG3-017504_S62_L001_R2_001.fastq.gz,NovaSeq6,Double
LV7009026505-LV7000631928-CGG3-017504_S62_L002_R1_001.fastq.gz,NovaSeq6,Double
LV7009026505-LV7000631928-CGG3-017504_S62_L002_R2_001.fastq.gz,NovaSeq6,Double
LV7009026505-LV7000631928-CGG3-017504_S62_L003_R1_001.fastq.gz,NovaSeq6,Double
LV7009026505-LV7000631928-CGG3-017504_S62_L003_R2_001.fastq.gz,NovaSeq6,Double
LV7009026505-LV7000631928-CGG3-017504_S62_L004_R1_001.fastq.gz,NovaSeq6,Double
LV7009026505-LV7000631928-CGG3-017504_S62_L004_R2_001.fastq.gz,NovaSeq6,Double
LV7009026506-LV7001308251-CGG3-017472_S54_L001_R1_001.fastq.gz,NovaSeq6,Double
LV7009026506-LV7001308251-CGG3-017472_S54_L001_R2_001.fastq.gz,NovaSeq6,Double
LV7009026506-LV7001308251-CGG3-017472_S54_L002_R1_001.fastq.gz,NovaSeq6,Double
LV7009026506-LV7001308251-CGG3-017472_S54_L002_R2_001.fastq.gz,NovaSeq6,Double
LV7009026506-LV7001308251-CGG3-017472_S54_L003_R1_001.fastq.gz,NovaSeq6,Double
LV7009026506-LV7001308251-CGG3-017472_S54_L003_R2_001.fastq.gz,NovaSeq6,Double
LV7009026506-LV7001308251-CGG3-017472_S54_L004_R1_001.fastq.gz,NovaSeq6,Double
LV7009026506-LV7001308251-CGG3-017472_S54_L004_R2_001.fastq.gz,NovaSeq6,Double
LV7009026516-LV7005225593-CGG3-017593_S71_L001_R1_001.fastq.gz,NovaSeq6,Double
LV7009026516-LV7005225593-CGG3-017593_S71_L001_R2_001.fastq.gz,NovaSeq6,Double
LV7009026516-LV7005225593-CGG3-017593_S71_L002_R1_001.fastq.gz,NovaSeq6,Double
LV7009026516-LV7005225593-CGG3-017593_S71_L002_R2_001.fastq.gz,NovaSeq6,Double
LV7009026516-LV7005225593-CGG3-017593_S71_L003_R1_001.fastq.gz,NovaSeq6,Double
LV7009026516-LV7005225593-CGG3-017593_S71_L003_R2_001.fastq.gz,NovaSeq6,Double
LV7009026516-LV7005225593-CGG3-017593_S71_L004_R1_001.fastq.gz,NovaSeq6,Double
LV7009026516-LV7005225593-CGG3-017593_S71_L004_R2_001.fastq.gz,NovaSeq6,Double
LV7009026517-LV7001308270-CGG3-017512_S63_L001_R1_001.fastq.gz,NovaSeq6,Double
LV7009026517-LV7001308270-CGG3-017512_S63_L001_R2_001.fastq.gz,NovaSeq6,Double
LV7009026517-LV7001308270-CGG3-017512_S63_L002_R1_001.fastq.gz,NovaSeq6,Double
LV7009026517-LV7001308270-CGG3-017512_S63_L002_R2_001.fastq.gz,NovaSeq6,Double
LV7009026517-LV7001308270-CGG3-017512_S63_L003_R1_001.fastq.gz,NovaSeq6,Double
LV7009026517-LV7001308270-CGG3-017512_S63_L003_R2_001.fastq.gz,NovaSeq6,Double
LV7009026517-LV7001308270-CGG3-017512_S63_L004_R1_001.fastq.gz,NovaSeq6,Double
LV7009026517-LV7001308270-CGG3-017512_S63_L004_R2_001.fastq.gz,NovaSeq6,Double
LV7009026518-LV7001308260-CGG3-017479_S55_L001_R1_001.fastq.gz,NovaSeq6,Double
LV7009026518-LV7001308260-CGG3-017479_S55_L001_R2_001.fastq.gz,NovaSeq6,Double
LV7009026518-LV7001308260-CGG3-017479_S55_L002_R1_001.fastq.gz,NovaSeq6,Double
LV7009026518-LV7001308260-CGG3-017479_S55_L002_R2_001.fastq.gz,NovaSeq6,Double
LV7009026518-LV7001308260-CGG3-017479_S55_L003_R1_001.fastq.gz,NovaSeq6,Double
LV7009026518-LV7001308260-CGG3-017479_S55_L003_R2_001.fastq.gz,NovaSeq6,Double
LV7009026518-LV7001308260-CGG3-017479_S55_L004_R1_001.fastq.gz,NovaSeq6,Double
LV7009026518-LV7001308260-CGG3-017479_S55_L004_R2_001.fastq.gz,NovaSeq6,Double
LV7009026435-LV7005010674-LV3005272689_S41_L001_R1_001.fastq.gz,NovaSeq6,Double
LV7009026435-LV7005010674-LV3005272689_S41_L001_R2_001.fastq.gz,NovaSeq6,Double
LV7009026435-LV7005010674-LV3005272689_S41_L002_R1_001.fastq.gz,NovaSeq6,Double
LV7009026435-LV7005010674-LV3005272689_S41_L002_R2_001.fastq.gz,NovaSeq6,Double
LV7009026435-LV7005010674-LV3005272689_S41_L003_R1_001.fastq.gz,NovaSeq6,Double
LV7009026435-LV7005010674-LV3005272689_S41_L003_R2_001.fastq.gz,NovaSeq6,Double
LV7009026435-LV7005010674-LV3005272689_S41_L004_R1_001.fastq.gz,NovaSeq6,Double
LV7009026435-LV7005010674-LV3005272689_S41_L004_R2_001.fastq.gz,NovaSeq6,Double
LV7009026436-LV7005010675-LV3005273253_S33_L001_R1_001.fastq.gz,NovaSeq6,Double
LV7009026436-LV7005010675-LV3005273253_S33_L001_R2_001.fastq.gz,NovaSeq6,Double
LV7009026436-LV7005010675-LV3005273253_S33_L002_R1_001.fastq.gz,NovaSeq6,Double
LV7009026436-LV7005010675-LV3005273253_S33_L002_R2_001.fastq.gz,NovaSeq6,Double
LV7009026436-LV7005010675-LV3005273253_S33_L003_R1_001.fastq.gz,NovaSeq6,Double
LV7009026436-LV7005010675-LV3005273253_S33_L003_R2_001.fastq.gz,NovaSeq6,Double
LV7009026436-LV7005010675-LV3005273253_S33_L004_R1_001.fastq.gz,NovaSeq6,Double
LV7009026436-LV7005010675-LV3005273253_S33_L004_R2_001.fastq.gz,NovaSeq6,Double
LV7009026437-LV7005010669-LV3005273276_S25_L001_R1_001.fastq.gz,NovaSeq6,Double
LV7009026437-LV7005010669-LV3005273276_S25_L001_R2_001.fastq.gz,NovaSeq6,Double
LV7009026437-LV7005010669-LV3005273276_S25_L002_R1_001.fastq.gz,NovaSeq6,Double
LV7009026437-LV7005010669-LV3005273276_S25_L002_R2_001.fastq.gz,NovaSeq6,Double
LV7009026437-LV7005010669-LV3005273276_S25_L003_R1_001.fastq.gz,NovaSeq6,Double
LV7009026437-LV7005010669-LV3005273276_S25_L003_R2_001.fastq.gz,NovaSeq6,Double
LV7009026437-LV7005010669-LV3005273276_S25_L004_R1_001.fastq.gz,NovaSeq6,Double
LV7009026437-LV7005010669-LV3005273276_S25_L004_R2_001.fastq.gz,NovaSeq6,Double
LV7009026438-LV7005010701-LV3005273265_S17_L001_R1_001.fastq.gz,NovaSeq6,Double
LV7009026438-LV7005010701-LV3005273265_S17_L001_R2_001.fastq.gz,NovaSeq6,Double
LV7009026438-LV7005010701-LV3005273265_S17_L002_R1_001.fastq.gz,NovaSeq6,Double
LV7009026438-LV7005010701-LV3005273265_S17_L002_R2_001.fastq.gz,NovaSeq6,Double
LV7009026438-LV7005010701-LV3005273265_S17_L003_R1_001.fastq.gz,NovaSeq6,Double
LV7009026438-LV7005010701-LV3005273265_S17_L003_R2_001.fastq.gz,NovaSeq6,Double
LV7009026438-LV7005010701-LV3005273265_S17_L004_R1_001.fastq.gz,NovaSeq6,Double
LV7009026438-LV7005010701-LV3005273265_S17_L004_R2_001.fastq.gz,NovaSeq6,Double
LV7009026439-LV7005010680-LV3005273228_S9_L001_R1_001.fastq.gz,NovaSeq6,Double
LV7009026439-LV7005010680-LV3005273228_S9_L001_R2_001.fastq.gz,NovaSeq6,Double
LV7009026439-LV7005010680-LV3005273228_S9_L002_R1_001.fastq.gz,NovaSeq6,Double
LV7009026439-LV7005010680-LV3005273228_S9_L002_R2_001.fastq.gz,NovaSeq6,Double
LV7009026439-LV7005010680-LV3005273228_S9_L003_R1_001.fastq.gz,NovaSeq6,Double
LV7009026439-LV7005010680-LV3005273228_S9_L003_R2_001.fastq.gz,NovaSeq6,Double
LV7009026439-LV7005010680-LV3005273228_S9_L004_R1_001.fastq.gz,NovaSeq6,Double
LV7009026439-LV7005010680-LV3005273228_S9_L004_R2_001.fastq.gz,NovaSeq6,Double
LV7009026440-LV7005010712-LV3005273239_S1_L001_R1_001.fastq.gz,NovaSeq6,Double
LV7009026440-LV7005010712-LV3005273239_S1_L001_R2_001.fastq.gz,NovaSeq6,Double
LV7009026440-LV7005010712-LV3005273239_S1_L002_R1_001.fastq.gz,NovaSeq6,Double
