,BulkSampleID,ArchiveSampleID,Robot Sample ID,Library ID,FastQ File ID,DepthSampledCalTape
522,ISL23_59.4A,LV3005889691,LV6000198945,LV7009027308,LV7009027308-LV6000198945-LV3005889691,280.5
523,ISL23_59.4A,LV3005889705,LV6000198669,LV7009026147,LV7009026147-LV6000198669-LV3005889705,283
524,ISL23_59.4A,LV3005889692,LV6000198961,LV7009023742,LV7009023742-LV6000198961-LV3005889692,286
525,ISL23_59.4A,LV3005889706,LV6000198922,LV7009024905,LV7009024905-LV6000198922-LV3005889706,289
526,ISL23_59.4A,LV3005889693,LV6000198930,LV7008957250,LV7008957250-LV6000198930-LV3005889693,292
527,ISL23_59.4A,LV3005889707,LV6000198938,LV7009027847,LV7009027847-LV6000198938-LV3005889707,295
528,ISL23_59.4A,LV3005889694,LV6000198946,LV7009024078,LV7009024078-LV6000198946-LV3005889694,298
529,ISL23_59.4A,LV3005889708,LV6000198954,LV7008957626,LV7008957626-LV6000198954-LV3005889708,301
530,ISL23_59.4A,LV3005889695,LV6000198962,LV7008955405,LV7008955405-LV6000198962-LV3005889695,303.5
531,ISL23_59.4A,LV3005889677,LV6000198923,LV7009024858,LV7009024858-LV6000198923-LV3005889677,307
532,ISL23_59.4A,LV3005889663,LV6000198931,LV7009022400,LV7009022400-LV6000198931-LV3005889663,310
533,ISL23_59.4A,LV3005889678,LV6000198939,LV7008955464,LV7008955464-LV6000198939-LV3005889678,313
534,ISL23_59.4A,LV3005889665,LV6000198947,LV7009024548,LV7009024548-LV6000198947-LV3005889665,315.5
535,ISL23_59.4A,LV3005889679,LV6000198955,LV7009027557,LV7009027557-LV6000198955-LV3005889679,318.5
536,ISL23_59.4A,LV3005889666,LV6000198963,LV7008955341,LV7008955341-LV6000198963-LV3005889666,321.5
537,ISL23_59.4A,LV3005889680,LV6000198924,LV7009022396,LV7009022396-LV6000198924-LV3005889680,324
538,ISL23_59.4A,LV3005889667,LV6000198932,LV7008957242,LV7008957242-LV6000198932-LV3005889667,326.5
539,ISL23_59.4A,LV3005889661,LV6000198940,LV7009024101,LV7009024101-LV6000198940-LV3005889661,329.5
540,ISL23_59.4A,LV3005889675,LV6000198948,LV7009024177,LV7009024177-LV6000198948-LV3005889675,332.5
541,ISL23_59.4A,LV3005889682,LV6000198956,LV7008957263,LV7008957263-LV6000198956-LV3005889682,335.5
542,ISL23_59.4A,LV3005889669,LV6000198964,LV7008957578,LV7008957578-LV6000198964-LV3005889669,338.5
543,ISL23_59.4A,LV3005889648,LV6000198925,LV7009022747,LV7009022747-LV6000198925-LV3005889648,341
544,ISL23_59.4A,LV3005889634,LV6000198933,LV7008955404,LV7008955404-LV6000198933-LV3005889634,343.5
545,ISL23_59.4A,LV3005889649,LV6000198941,LV7009022434,LV7009022434-LV6000198941-LV3005889649,346.5
546,ISL23_59.4A,LV3005889636,LV6000198949,LV7008957682,LV7008957682-LV6000198949-LV3005889636,349.5
547,ISL23_59.4A,LV3005889651,LV6000198661,LV7009024140,LV7009024140-LV6000198661-LV3005889651,352
548,ISL23_59.4A,LV3005889637,LV6000198965,LV7008957264,LV7008957264-LV6000198965-LV3005889637,355
549,ISL23_59.4A,LV3005889653,LV6000198926,LV7009027378,LV7009027378-LV6000198926-LV3005889653,358
550,ISL23_59.4A,LV3005889638,LV6000198934,LV7008957230,LV7008957230-LV6000198934-LV3005889638,360.5
551,ISL23_59.4A,LV3005889654,LV6000198942,LV7008955401,LV7008955401-LV6000198942-LV3005889654,363.5
552,ISL23_59.4A,LV3005889639,LV6000198950,LV7009027894,LV7009027894-LV6000198950-LV3005889639,366.5
553,ISL23_59.4A,LV3005889656,LV6000198677,LV7009024233,LV7009024233-LV6000198677-LV3005889656,369
554,ISL23_59.4A,LV3005889640,LV6000198966,LV7009024874,LV7009024874-LV6000198966-LV3005889640,372
555,ISL23_59.4A,LV3005889622,LV6000198927,LV7008955477,LV7008955477-LV6000198927-LV3005889622,375
556,ISL23_59.4A,LV3005889623,LV6000198935,LV7008957237,LV7008957237-LV6000198935-LV3005889623,378
557,ISL23_59.4A,LV3005889625,LV6000198943,LV7008957577,LV7008957577-LV6000198943-LV3005889625,380.5
558,ISL23_59.4B,LV3005889615,LV6000198951,LV7009022697,LV7009022697-LV6000198951-LV3005889615,382
559,ISL23_59.4B,LV3005889617,LV6000198959,LV7008955342,LV7008955342-LV6000198959-LV3005889617,385
560,ISL23_59.4B,LV3005889619,LV6000198967,LV7008957214,LV7008957214-LV6000198967-LV3005889619,388
561,ISL23_59.4B,LV3005889608,LV6000198928,LV7009024582,LV7009024582-LV6000198928-LV3005889608,391
562,ISL23_59.4B,LV3005889611,LV6000198936,LV7008957313,LV7008957313-LV6000198936-LV3005889611,394
563,ISL23_59.4B,LV3005889613,LV6000198944,LV7008957000,LV7008957000-LV6000198944-LV3005889613,397
564,ISL23_59.4B,LV3005889601,LV6000198952,LV7009021867,LV7009021867-LV6000198952-LV3005889601,399.5
565,ISL23_59.4B,LV3005889603,LV6000199305,,,402.5
566,ISL23_59.4B,LV3005889603,LV6000199305,LV7008953921,LV7008953921-LV6000199305-LV3005889603,402.5
567,ISL23_59.4B,LV3005889606,LV6000199313,,,405.5
568,ISL23_59.4B,LV3005889606,LV6000199313,LV7008956512,LV7008956512-LV6000199313-LV3005889606,405.5
569,ISL23_59.4B,LV3005889594,LV6000199321,,,408
570,ISL23_59.4B,LV3005889594,LV6000199321,LV7008956524,LV7008956524-LV6000199321-LV3005889594,408
571,ISL23_59.4B,LV3005889587,LV6000199329,,,410.5
572,ISL23_59.4B,LV3005889587,LV6000199329,LV7008956548,LV7008956548-LV6000199329-LV3005889587,410.5
573,ISL23_59.6,LV3005889598,LV6000199337,,,2
574,ISL23_59.6,LV3005889598,LV6000199337,LV7008956560,LV7008956560-LV6000199337-LV3005889598,2
575,ISL23_59.6,LV3005889600,LV6000199345,,,5
576,ISL23_59.6,LV3005889600,LV6000199345,LV7008956584,LV7008956584-LV6000199345-LV3005889600,5
577,ISL23_59.6,LV3005889589,LV6000199306,,,8
578,ISL23_59.6,LV3005889589,LV6000199306,LV7008956596,LV7008956596-LV6000199306-LV3005889589,8
579,ISL23_59.6,LV3005889591,LV6000199314,,,11
580,ISL23_59.6,LV3005889591,LV6000199314,LV7008956620,LV7008956620-LV6000199314-LV3005889591,11
581,ISL23_59.6,LV3005889581,LV6000199322,,,13.5
582,ISL23_59.6,LV3005889581,LV6000199322,LV7008953920,LV7008953920-LV6000199322-LV3005889581,13.5
583,ISL23_59.6,LV3005889583,LV6000199330,,,16.5
584,ISL23_59.6,LV3005889583,LV6000199330,LV7008956511,LV7008956511-LV6000199330-LV3005889583,16.5
585,ISL23_59.6,LV3005889585,LV6000199338,,,19
586,ISL23_59.6,LV3005889585,LV6000199338,LV7008956523,LV7008956523-LV6000199338-LV3005889585,19
587,ISL23_59.6,LV3005889575,LV6000199346,,,21.5
588,ISL23_59.6,LV3005889575,LV6000199346,LV7008956547,LV7008956547-LV6000199346-LV3005889575,21.5
