library_id	archive_sample_id	archive_sample_master_depth	field_sample_country_region	field_sample_age_estimate_oldest	field_sample_age_estimate_youngest	min_master_age	max_master_age	mean_master_age	median_master_age
LV7009022696	LV3006007209	50.0	Cambodia						
LV7009022696	LV3006007209	50.0	Cambodia						
	LV3006007209	50.0	Cambodia						
LV7009027812	LV3006007215	51.5	Cambodia						
LV7009027812	LV3006007215	51.5	Cambodia						
LV7009027812	LV3006007215	51.5	Cambodia						
LV7009027812	LV3006007215	51.5	Cambodia						
	LV3006007215	51.5	Cambodia						
LV7008961151	LV3006007198	53.0	Cambodia						
LV7008961151	LV3006007198	53.0	Cambodia						
LV7008961151	LV3006007198	53.0	Cambodia						
LV7008961151	LV3006007198	53.0	Cambodia						
	LV3006007198	53.0	Cambodia						
LV7009024883	LV3006007204	55.0	Cambodia						
LV7009024883	LV3006007204	55.0	Cambodia						
LV7009024883	LV3006007204	55.0	Cambodia						
LV7009024883	LV3006007204	55.0	Cambodia						
	LV3006007204	55.0	Cambodia						
LV7008955441	LV3006007210	56.5	Cambodia						
LV7008955441	LV3006007210	56.5	Cambodia						
LV7008955441	LV3006007210	56.5	Cambodia						
LV7008955441	LV3006007210	56.5	Cambodia						
	LV3006007210	56.5	Cambodia						
LV7008960422	LV3006007216	58.0	Cambodia						
LV7008960422	LV3006007216	58.0	Cambodia						
LV7008960422	LV3006007216	58.0	Cambodia						
LV7008960422	LV3006007216	58.0	Cambodia						
	LV3006007216	58.0	Cambodia						
LV7009026576	LV3006007228	6.5	Cambodia						
LV7009026576	LV3006007228	6.5	Cambodia						
LV7009026576	LV3006007228	6.5	Cambodia						
LV7009026576	LV3006007228	6.5	Cambodia						
	LV3006007228	6.5	Cambodia						
LV7009027318	LV3006007199	64.0	Cambodia						
LV7009027318	LV3006007199	64.0	Cambodia						
LV7009027318	LV3006007199	64.0	Cambodia						
LV7009027318	LV3006007199	64.0	Cambodia						
	LV3006007199	64.0	Cambodia						
LV7008958344	LV3006007205	66.0	Cambodia						
LV7008958344	LV3006007205	66.0	Cambodia						
LV7008958344	LV3006007205	66.0	Cambodia						
LV7008958344	LV3006007205	66.0	Cambodia						
	LV3006007205	66.0	Cambodia						
LV7009024569	LV3006007211	67.5	Cambodia						
LV7009024569	LV3006007211	67.5	Cambodia						
LV7009024569	LV3006007211	67.5	Cambodia						
LV7009024569	LV3006007211	67.5	Cambodia						
	LV3006007211	67.5	Cambodia						
LV7008960430	LV3006007217	69.0	Cambodia						
LV7008960430	LV3006007217	69.0	Cambodia						
LV7008960430	LV3006007217	69.0	Cambodia						
LV7008960430	LV3006007217	69.0	Cambodia						
	LV3006007217	69.0	Cambodia						
LV7009026360	LV3006007200	70.5	Cambodia						
LV7009026360	LV3006007200	70.5	Cambodia						
LV7009026360	LV3006007200	70.5	Cambodia						
LV7009026360	LV3006007200	70.5	Cambodia						
	LV3006007200	70.5	Cambodia						
LV7008958558	LV3006007206	72.0	Cambodia						
LV7008958558	LV3006007206	72.0	Cambodia						
LV7008958558	LV3006007206	72.0	Cambodia						
LV7008958558	LV3006007206	72.0	Cambodia						
	LV3006007206	72.0	Cambodia						
LV7008960346	LV3006007212	73.5	Cambodia						
LV7008960346	LV3006007212	73.5	Cambodia						
LV7008960346	LV3006007212	73.5	Cambodia						
LV7008960346	LV3006007212	73.5	Cambodia						
	LV3006007212	73.5	Cambodia						
LV7008957297	LV3006007218	75.0	Cambodia						
	LV3006007218	75.0	Cambodia						
LV7009022408	LV3006007171	76.5	Cambodia						
	LV3006007171	76.5	Cambodia						
LV7009026364	LV3006007177	78.0	Cambodia						
	LV3006007177	78.0	Cambodia						
LV7009024920	LV3006007183	79.5	Cambodia						
	LV3006007183	79.5	Cambodia						
LV7009022430	LV3006007230	8.0	Cambodia						
LV7009022430	LV3006007230	8.0	Cambodia						
LV7009022430	LV3006007230	8.0	Cambodia						
LV7009022430	LV3006007230	8.0	Cambodia						
	LV3006007230	8.0	Cambodia						
LV7009024919	LV3006007189	81.0	Cambodia						
	LV3006007189	81.0	Cambodia						
LV7008957621	LV3006007172	82.5	Cambodia						
	LV3006007172	82.5	Cambodia						
LV7008960360	LV3006007178	84.0	Cambodia						
	LV3006007178	84.0	Cambodia						
LV7009024325	LV3006007184	86.0	Cambodia						
	LV3006007184	86.0	Cambodia						
LV7009024585	LV3006007190	87.5	Cambodia						
	LV3006007190	87.5	Cambodia						
LV7009022397	LV3006007173	89.0	Cambodia						
	LV3006007173	89.0	Cambodia						
LV7008958317	LV3006007234	9.5	Cambodia						
LV7008958317	LV3006007234	9.5	Cambodia						
LV7008958317	LV3006007234	9.5	Cambodia						
LV7008958317	LV3006007234	9.5	Cambodia						
	LV3006007234	9.5	Cambodia						
LV7008958499	LV3006007179	91.0	Cambodia						
	LV3006007179	91.0	Cambodia						
LV7008955282	LV3006007185	92.5	Cambodia						
	LV3006007185	92.5	Cambodia						
LV7008957310	LV3006007191	94.0	Cambodia						
	LV3006007191	94.0	Cambodia						
LV7009026097	LV3006007174	95.5	Cambodia						
	LV3006007174	95.5	Cambodia						
LV7009022356	LV3006007180	97.0	Cambodia						
	LV3006007180	97.0	Cambodia						
LV7008957549	LV3006007298	101.5	Cambodia						
	LV3006007298	101.5	Cambodia						
LV7009024246	LV3006007304	103.5	Cambodia						
	LV3006007304	103.5	Cambodia						
LV7008960407	LV3006007322	105.0	Cambodia						
	LV3006007322	105.0	Cambodia						
LV7009026552	LV3006007316	107.0	Cambodia						
	LV3006007316	107.0	Cambodia						
LV7009027860	LV3006007315	108.5	Cambodia						
	LV3006007315	108.5	Cambodia						
LV7009026634	LV3006007309	109.5	Cambodia						
	LV3006007309	109.5	Cambodia						
LV3000765846	LV3006007310	111.0	Cambodia						
	LV3006007310	111.0	Cambodia						
LV7009023755	LV3006007303	112.5	Cambodia						
	LV3006007303	112.5	Cambodia						
LV7009021824	LV3006007297	114.0	Cambodia						
	LV3006007297	114.0	Cambodia						
LV7008957213	LV3006007314	115.5	Cambodia						
	LV3006007314	115.5	Cambodia						
LV7009022707	LV3006007308	117.0	Cambodia						
	LV3006007308	117.0	Cambodia						
LV7009021866	LV3006007302	118.5	Cambodia						
	LV3006007302	118.5	Cambodia						
LV7008955463	LV3006007296	119.5	Cambodia						
	LV3006007296	119.5	Cambodia						
LV7008955486	LV3006007313	121.0	Cambodia						
	LV3006007313	121.0	Cambodia						
LV7008957217	LV3006007307	122.5	Cambodia						
	LV3006007307	122.5	Cambodia						
LV7008960410	LV3006007301	124.0	Cambodia						
	LV3006007301	124.0	Cambodia						
LV7008957215	LV3006007295	125.5	Cambodia						
	LV3006007295	125.5	Cambodia						
LV7008958322	LV3006007312	127.0	Cambodia						
	LV3006007312	127.0	Cambodia						
LV7009024536	LV3006007306	128.5	Cambodia						
	LV3006007306	128.5	Cambodia						
LV7009026551	LV3006007300	130.0	Cambodia						
	LV3006007300	130.0	Cambodia						
LV7008957395	LV3006007294	131.5	Cambodia						
	LV3006007294	131.5	Cambodia						
LV7009026424	LV3006007311	132.5	Cambodia						
	LV3006007311	132.5	Cambodia						
LV7009023730	LV3006007305	134.5	Cambodia						
	LV3006007305	134.5	Cambodia						
LV7008957311	LV3006007299	136.0	Cambodia						
	LV3006007299	136.0	Cambodia						
LV7008960369	LV3006007293	138.0	Cambodia						
	LV3006007293	138.0	Cambodia						
LV7009027886	LV3006006418	139.5	Cambodia						
	LV3006006418	139.5	Cambodia						
LV7008958511	LV3006006411	141.5	Cambodia						
	LV3006006411	141.5	Cambodia						
LV7008958330	LV3006006405	143.5	Cambodia						
	LV3006006405	143.5	Cambodia						
LV7008957262	LV3006006399	145.0	Cambodia						
	LV3006006399	145.0	Cambodia						
LV7008961181	LV3006006419	146.5	Cambodia						
	LV3006006419	146.5	Cambodia						
LV7008960420	LV3006006412	148.0	Cambodia						
	LV3006006412	148.0	Cambodia						
LV7008961125	LV3006006406	149.5	Cambodia						
	LV3006006406	149.5	Cambodia						
LV7009027833	LV3006006400	151.5	Cambodia						
	LV3006006400	151.5	Cambodia						
LV7009022733	LV3006006422	153.0	Cambodia						
	LV3006006422	153.0	Cambodia						
LV7008960345	LV3006006421	154.5	Cambodia						
	LV3006006421	154.5	Cambodia						
LV7009024910	LV3006006407	156.0	Cambodia						
	LV3006006407	156.0	Cambodia						
LV7008958486	LV3006006401	158.0	Cambodia						
	LV3006006401	158.0	Cambodia						
LV7009026578	LV3006006423	159.5	Cambodia						
	LV3006006423	159.5	Cambodia						
LV7008955584	LV3006006414	161.0	Cambodia						
	LV3006006414	161.0	Cambodia						
LV7009022754	LV3006006408	162.5	Cambodia						
	LV3006006408	162.5	Cambodia						
LV7001888062	LV3006006402	164.0	Cambodia						
	LV3006006402	164.0	Cambodia						
LV7008957253	LV3006006424	165.5	Cambodia						
	LV3006006424	165.5	Cambodia						
LV7008961183	LV3006006415	167.0	Cambodia						
	LV3006006415	167.0	Cambodia						
LV7008961177	LV3006006409	168.5	Cambodia						
	LV3006006409	168.5	Cambodia						
LV7008960937	LV3006006403	170.0	Cambodia						
	LV3006006403	170.0	Cambodia						
LV7009024562	LV3006006425	171.5	Cambodia						
	LV3006006425	171.5	Cambodia						
LV7009027909	LV3006006416	173.0	Cambodia						
	LV3006006416	173.0	Cambodia						
LV7008958346	LV3006006410	175.0	Cambodia						
	LV3006006410	175.0	Cambodia						
LV7008960898	LV3006006404	176.5	Cambodia						
	LV3006006404	176.5	Cambodia						
LV7009027357	LV3006006385	178.0	Cambodia						
	LV3006006385	178.0	Cambodia						
LV7008957590	LV3006006391	179.5	Cambodia						
	LV3006006391	179.5	Cambodia						
LV7008961126	LV3006006398	181.5	Cambodia						
	LV3006006398	181.5	Cambodia						
LV7008958343	LV3006006392	183.0	Cambodia						
	LV3006006392	183.0	Cambodia						
LV7009024574	LV3006006396	184.0	Cambodia						
	LV3006006396	184.0	Cambodia						
	LV3005350442	0.5	Iceland	1.0	0.0				
	LV3005350450	1.0	Iceland	1.0	0.0				
	LV3005350444	10.0	Iceland	1.0	0.0				
	LV3005350448	11.5	Iceland	1.0	0.0				
	LV3005350446	12.5	Iceland	1.0	0.0				
	LV3005273831	13.5	Iceland	1.0	0.0				
	LV3005350431	14.5	Iceland	1.0	0.0				
	LV3005350437	16.0	Iceland	1.0	0.0				
	LV3005350445	17.0	Iceland	1.0	0.0				
	LV3005350432	18.0	Iceland	1.0	0.0				
	LV3005350443	19.0	Iceland	1.0	0.0				
	LV3005350436	2.5	Iceland	1.0	0.0				
	LV3005350433	20.0	Iceland	1.0	0.0				
	LV3005350270	21.0	Iceland	1.0	0.0				
	LV3005350271	22.5	Iceland	1.0	0.0				
	LV3005350276	23.5	Iceland	1.0	0.0				
	LV3005350289	25.0	Iceland	1.0	0.0				
	LV3005350283	27.0	Iceland	1.0	0.0				
	LV3005350277	28.0	Iceland	1.0	0.0				
	LV3005350284	29.5	Iceland	1.0	0.0				
	LV3005350438	3.5	Iceland	1.0	0.0				
	LV3005350290	31.0	Iceland	1.0	0.0				
	LV3005350272	32.0	Iceland	1.0	0.0				
	LV3005350278	34.0	Iceland	1.0	0.0				
	LV3005350285	35.0	Iceland	1.0	0.0				
	LV3005350291	37.0	Iceland	1.0	0.0				
	LV3005350275	38.0	Iceland	1.0	0.0				
	LV3005350286	39.5	Iceland	1.0	0.0				
	LV3005350292	41.0	Iceland	1.0	0.0				
	LV3005350281	42.5	Iceland	1.0	0.0				
	LV3005350294	44.0	Iceland	1.0	0.0				
	LV3005350282	45.0	Iceland	1.0	0.0				
	LV3005350288	46.5	Iceland	1.0	0.0				
	LV3005350293	48.0	Iceland	1.0	0.0				
	LV3005350287	49.5	Iceland	1.0	0.0				
	LV3005350451	5.0	Iceland	1.0	0.0				
	LV3005350279	51.0	Iceland	1.0	0.0				
	LV3005350274	52.5	Iceland	1.0	0.0				
	LV3005350273	54.0	Iceland	1.0	0.0				
	LV3005350243	55.5	Iceland	1.0	0.0				
	LV3005350253	57.0	Iceland	1.0	0.0				
	LV3005350269	58.0	Iceland	1.0	0.0				
	LV3005350261	59.5	Iceland	1.0	0.0				
	LV3005350439	6.0	Iceland	1.0	0.0				
	LV3005350258	61.0	Iceland	1.0	0.0				
	LV3005350252	62.5	Iceland	1.0	0.0				
	LV3005350260	64.0	Iceland	1.0	0.0				
LV7008955260	LV3005350267	65.0	Iceland	1.0	0.0				
LV7008955260	LV3005350267	65.0	Iceland	1.0	0.0				
LV7008955260	LV3005350267	65.0	Iceland	1.0	0.0				
LV7008955260	LV3005350267	65.0	Iceland	1.0	0.0				
	LV3005350240	66.5	Iceland	1.0	0.0				
	LV3005350249	68.0	Iceland	1.0	0.0				
	LV3005350259	69.5	Iceland	1.0	0.0				
	LV3005350449	7.0	Iceland	1.0	0.0				
	LV3005350265	71.0	Iceland	1.0	0.0				
	LV3005350232	72.5	Iceland	1.0	0.0				
	LV3005350247	74.0	Iceland	1.0	0.0				
	LV3005350255	75.5	Iceland	1.0	0.0				
	LV3005350264	77.0	Iceland	1.0	0.0				
	LV3005350263	78.5	Iceland	1.0	0.0				
	LV3005350434	8.5	Iceland	1.0	0.0				
	LV3005350266	80.0	Iceland	1.0	0.0				
	LV3005350244	81.5	Iceland	1.0	0.0				
	LV3005350262	83.0	Iceland	1.0	0.0				
	LV3005350254	84.0	Iceland	1.0	0.0				
	LV3005350245	85.0	Iceland	1.0	0.0				
	LV3005350238	86.5	Iceland	1.0	0.0				
	LV3005350239	88.0	Iceland	1.0	0.0				
	LV3005350212	89.5	Iceland	1.0	0.0				
	LV3005350440	9.5	Iceland	1.0	0.0				
	LV3005350216	91.0	Iceland	1.0	0.0				
	LV3005350224	92.5	Iceland	1.0	0.0				
	LV3005350230	93.5	Iceland	1.0	0.0				
	LV3005350211	95.0	Iceland	1.0	0.0				
	LV3005350217	96.5	Iceland	1.0	0.0				
	LV3005350210	98.0	Iceland	1.0	0.0				
	LV3005273844	99.5	Iceland	1.0	0.0				
	LV3005573278	0.5	Iceland	2.0	0.0				
	LV3005573266	10.5	Iceland	2.0	0.0				
	LV3005573272	12.0	Iceland	2.0	0.0				
	LV3005573260	13.5	Iceland	2.0	0.0				
	LV3005573281	14.5	Iceland	2.0	0.0				
	LV3005573267	16.0	Iceland	2.0	0.0				
	LV3005573263	17.5	Iceland	2.0	0.0				
	LV3005573257	19.5	Iceland	2.0	0.0				
	LV3005573255	2.0	Iceland	2.0	0.0				
	LV3005573270	20.5	Iceland	2.0	0.0				
	LV3005573256	22.0	Iceland	2.0	0.0				
	LV3005573259	23.5	Iceland	2.0	0.0				
	LV3005573279	25.0	Iceland	2.0	0.0				
	LV3005573004	26.5	Iceland	2.0	0.0				
	LV3005573002	28.0	Iceland	2.0	0.0				
	LV3005572997	29.5	Iceland	2.0	0.0				
	LV3005573274	3.5	Iceland	2.0	0.0				
	LV3005572995	31.0	Iceland	2.0	0.0				
	LV3005572989	32.5	Iceland	2.0	0.0				
	LV3005573001	34.0	Iceland	2.0	0.0				
	LV3005573000	35.5	Iceland	2.0	0.0				
	LV3005572988	37.0	Iceland	2.0	0.0				
	LV3005572994	38.5	Iceland	2.0	0.0				
	LV3005572977	40.0	Iceland	2.0	0.0				
	LV3005572973	42.0	Iceland	2.0	0.0				
	LV3005572987	43.0	Iceland	2.0	0.0				
	LV3005572978	44.5	Iceland	2.0	0.0				
	LV3005572976	46.5	Iceland	2.0	0.0				
LV7008955372	LV3005572975	48.0	Iceland	2.0	0.0				
LV7008955372	LV3005572975	48.0	Iceland	2.0	0.0				
LV7008955372	LV3005572975	48.0	Iceland	2.0	0.0				
LV7008955372	LV3005572975	48.0	Iceland	2.0	0.0				
	LV3005572993	49.5	Iceland	2.0	0.0				
	LV3005573271	5.0	Iceland	2.0	0.0				
	LV3005572983	51.0	Iceland	2.0	0.0				
	LV3005572998	52.5	Iceland	2.0	0.0				
	LV3005572981	54.5	Iceland	2.0	0.0				
	LV3005572999	56.0	Iceland	2.0	0.0				
	LV3005572992	57.5	Iceland	2.0	0.0				
	LV3005572991	59.0	Iceland	2.0	0.0				
	LV3005573262	6.5	Iceland	2.0	0.0				
	LV3005572979	60.5	Iceland	2.0	0.0				
	LV3005572974	61.5	Iceland	2.0	0.0				
	LV3005572970	63.0	Iceland	2.0	0.0				
	LV3005572969	64.5	Iceland	2.0	0.0				
	LV3005572972	66.0	Iceland	2.0	0.0				
	LV3005572966	67.5	Iceland	2.0	0.0				
	LV3005572953	69.0	Iceland	2.0	0.0				
	LV3005572959	70.0	Iceland	2.0	0.0				
	LV3005572947	71.5	Iceland	2.0	0.0				
	LV3005572965	73.0	Iceland	2.0	0.0				
	LV3005572960	74.5	Iceland	2.0	0.0				
	LV3005572967	76.0	Iceland	2.0	0.0				
	LV3005572971	78.0	Iceland	2.0	0.0				
	LV3005572954	79.5	Iceland	2.0	0.0				
	LV3005573264	8.0	Iceland	2.0	0.0				
	LV3005572962	81.0	Iceland	2.0	0.0				
	LV3005572948	82.5	Iceland	2.0	0.0				
	LV3005572955	84.5	Iceland	2.0	0.0				
	LV3005573280	9.5	Iceland	2.0	0.0				
	LV3005572937	100.0	Iceland	2.0	0.0				
	LV3005572927	102.0	Iceland	2.0	0.0				
	LV3005572921	103.5	Iceland	2.0	0.0				
	LV3005572913	105.0	Iceland	2.0	0.0				
	LV3005572939	106.5	Iceland	2.0	0.0				
	LV3005572928	108.0	Iceland	2.0	0.0				
	LV3005572922	109.5	Iceland	2.0	0.0				
	LV3005572914	111.0	Iceland	2.0	0.0				
	LV3005572940	112.5	Iceland	2.0	0.0				
	LV3005572932	114.0	Iceland	2.0	0.0				
	LV3005572923	115.5	Iceland	2.0	0.0				
	LV3005572916	117.5	Iceland	2.0	0.0				
	LV3005572941	119.5	Iceland	2.0	0.0				
	LV3005572933	121.0	Iceland	2.0	0.0				
	LV3005572924	123.0	Iceland	2.0	0.0				
	LV3005572917	125.0	Iceland	2.0	0.0				
	LV3005572942	126.5	Iceland	2.0	0.0				
	LV3005572935	128.0	Iceland	2.0	0.0				
	LV3005572925	129.5	Iceland	2.0	0.0				
	LV3005572918	131.0	Iceland	2.0	0.0				
	LV3005572943	132.5	Iceland	2.0	0.0				
	LV3005572936	134.0	Iceland	2.0	0.0				
	LV3005572926	135.5	Iceland	2.0	0.0				
	LV3005572919	137.5	Iceland	2.0	0.0				
	LV3005572905	139.0	Iceland	2.0	0.0				
	LV3005572898	140.5	Iceland	2.0	0.0				
	LV3005572889	141.5	Iceland	2.0	0.0				
	LV3005572881	143.0	Iceland	2.0	0.0				
	LV3005572907	144.5	Iceland	2.0	0.0				
	LV3005572900	146.0	Iceland	2.0	0.0				
	LV3005572890	148.0	Iceland	2.0	0.0				
	LV3005572882	149.5	Iceland	2.0	0.0				
	LV3005572908	151.0	Iceland	2.0	0.0				
	LV3005572901	152.5	Iceland	2.0	0.0				
	LV3005572891	154.0	Iceland	2.0	0.0				
	LV3005572884	155.5	Iceland	2.0	0.0				
	LV3005572910	156.5	Iceland	2.0	0.0				
	LV3005572902	158.0	Iceland	2.0	0.0				
	LV3005572892	159.5	Iceland	2.0	0.0				
	LV3005572885	161.0	Iceland	2.0	0.0				
	LV3005572911	162.5	Iceland	2.0	0.0				
	LV3005572903	164.0	Iceland	2.0	0.0				
	LV3005572893	165.5	Iceland	2.0	0.0				
	LV3005572886	167.0	Iceland	2.0	0.0				
	LV3005572912	168.5	Iceland	2.0	0.0				
	LV3005572904	170.0	Iceland	2.0	0.0				
	LV3005572897	171.5	Iceland	2.0	0.0				
	LV3005572888	173.0	Iceland	2.0	0.0				
	LV3005572852	174.5	Iceland	2.0	0.0				
	LV3005572858	176.0	Iceland	2.0	0.0				
	LV3005572868	177.5	Iceland	2.0	0.0				
	LV3005572956	86.0	Iceland	2.0	0.0				
	LV3005572950	87.5	Iceland	2.0	0.0				
	LV3005572949	89.0	Iceland	2.0	0.0				
	LV3005572964	91.0	Iceland	2.0	0.0				
	LV3005572961	92.5	Iceland	2.0	0.0				
	LV3005572957	94.0	Iceland	2.0	0.0				
	LV3005572958	95.5	Iceland	2.0	0.0				
	LV3005572951	97.0	Iceland	2.0	0.0				
	LV3005572952	99.0	Iceland	2.0	0.0				
	LV3005573126	0.5	Iceland	2.0	0.0				
	LV3005573127	10.5	Iceland	2.0	0.0				
	LV3005573109	12.0	Iceland	2.0	0.0				
	LV3005573115	13.5	Iceland	2.0	0.0				
	LV3005573122	14.5	Iceland	2.0	0.0				
	LV3005573128	16.0	Iceland	2.0	0.0				
	LV3005573129	17.5	Iceland	2.0	0.0				
	LV3005573123	19.0	Iceland	2.0	0.0				
	LV3005573119	2.0	Iceland	2.0	0.0				
	LV3005573116	20.0	Iceland	2.0	0.0				
	LV3005573110	21.5	Iceland	2.0	0.0				
	LV3005573130	23.0	Iceland	2.0	0.0				
	LV3005573124	24.0	Iceland	2.0	0.0				
